GEOID,XCoord,YCoord,RoadbedDist,BlockHeight
360050025004000,-73.92218791,40.80752984,6.670907267,4.068583
360050025005000,-73.92035969,40.8067555,10.03286748,5.921788
360050025005001,-73.92081025,40.80613749,6.944143349,7.137993
360050025005002,-73.92264224,40.80690256,7.804033693,3.65778
360050027011000,-73.91458233,40.80433265,10.37897962,1.909487
360050027011001,-73.91605286,40.80454811,11.60325769,5.379116
360050027011002,-73.91523662,40.80392325,7.157919623,3.102577
360050027012000,-73.91623169,40.8058523,7.788516998,4.281732
360050027012001,-73.91753054,40.805163,15.67258515,4.309879
360050027021000,-73.90945872,40.80616583,3.321371089,0
360050027021001,-73.91085427,40.80627053,4.80396537,4.041705
360050027021002,-73.91270806,40.80692842,8.667885941,7.05353
360050027021003,-73.91307888,40.80625894,6.005030112,3.157397
360050027021004,-73.91159991,40.80566717,13.20707601,2.367002
360050027022000,-73.9122316,40.80513242,6.698325883,2.46762
360050027022001,-73.91344926,40.80556634,5.351280961,2.424703
360050027022002,-73.9138998,40.80487827,10.72388503,4.873461
360050027022003,-73.91274006,40.8046907,3.623697432,0
360050027023000,-73.91536183,40.80721946,8.869661867,4.51064
360050027023001,-73.91577507,40.8065481,7.231067267,4.933209
360050027024000,-73.91498325,40.80787692,7.894953786,5.133348
360050028001000,-73.8738222,40.82412117,14.51719869,0
360050028001001,-73.87437935,40.82423906,10.69005502,0
360050028001002,-73.87652501,40.82395057,10.99578124,0
360050028001003,-73.87597826,40.82382443,8.296286443,0
360050028001004,-73.87886308,40.82346054,7.548721773,0
360050028001005,-73.87896596,40.823636,10.6149153,0
360050028001006,-73.8813167,40.82333998,12.60892585,0
360050028001007,-73.87502166,40.82293938,14.90571041,1.48361
360050028001008,-73.87731074,40.82265031,6.93522909,2.551398
360050028001009,-73.8782354,40.82252716,6.427810793,2.617781
360050028001010,-73.87915814,40.82240462,9.015781811,3.259641
360050028001011,-73.88008133,40.82227535,7.044069281,3.545182
360050028001012,-73.88130898,40.82312539,12.89629061,0
360050028001013,-73.88348777,40.82282916,2.565369034,0
360050028001014,-73.88350192,40.82302683,9.974237252,0
360050028001015,-73.88297628,40.82194912,25.33160877,4.004031
