STATE,COUNTY,STATENAME,TOTAL,NUMM1112,NUMF1112,NUMM1826,NUMF1826,PPM1112,PPF1112,PPM1826,PPF1826,INITM1112,INITF1112,INITM1826,INITF1826
31,115,NE,10872,5.97E-05,5.60E-05,3.49E-05,2.37E-05,0.470141508,0.500763018,0.097357956,0.07580549,0.290577346,0.148708879,0.21829444,0.338381181
31,117,NE,9306,7.11E-05,6.16E-05,1.96E-05,2.04E-05,0.65417038,0.643533742,0.041939892,0.080448661,0.334078836,0.388846744,0.300033774,0.282373906
31,119,NE,630644,0.003532895,0.003524229,0.003147036,0.003005783,0.479379722,0.543441938,0.176514798,0.262376919,0.396201459,0.314634581,0.338657083,0.392703453
31,121,NE,140510,0.000813425,0.000831371,0.000499692,0.000497445,0.495385689,0.57538811,0.102201189,0.164085416,0.3233539,0.266005906,0.270356511,0.334843508
31,123,NE,88530,0.000548995,0.000557746,0.000286541,0.000291972,0.53065334,0.612660028,0.086091564,0.145464491,0.427910811,0.345017616,0.330783745,0.416545243
31,125,NE,65952,0.000395303,0.000382795,0.000221851,0.000206929,0.512903187,0.564431262,0.093355994,0.133420555,0.319088549,0.262332737,0.245042819,0.318436449
31,127,NE,129028,0.000567116,0.000699107,0.000690953,0.000600982,0.376115113,0.526906116,0.196594011,0.255160952,0.283127288,0.222144686,0.285922011,0.455448345
31,129,NE,79426,0.00044027,0.000403089,0.000220027,0.000213336,0.474339386,0.493527618,0.061840517,0.096011808,0.328172836,0.265522782,0.239566451,0.253800455
31,131,NE,284994,0.001596649,0.001692834,0.001034325,0.000988919,0.479409644,0.577632793,0.105471211,0.157424659,0.330238077,0.306794275,0.277133433,0.330389292
31,133,NE,49146,0.000265101,0.000279223,0.000141586,0.000116061,0.461590631,0.552505261,0.068842788,0.071640691,0.293233691,0.234100153,0.213261047,0.303800615
31,135,NE,52844,0.000367786,0.000258229,0.000167266,0.000161932,0.595570146,0.475206475,0.083528169,0.128443032,0.390107438,0.244149643,0.334977493,0.213556413
31,137,NE,165830,0.000969801,0.000990927,0.000623457,0.000581177,0.500440899,0.581101286,0.112692889,0.160904229,0.359698688,0.300400189,0.269024029,0.3339657
31,139,NE,129736,0.000849667,0.000791482,0.000446509,0.000411673,0.56042982,0.59327194,0.096285171,0.134373401,0.37001515,0.274420412,0.273935546,0.320587843
31,141,NE,585498,0.003636923,0.003632699,0.002536628,0.002352086,0.531547142,0.603361104,0.14205274,0.201477791,0.449674609,0.368907074,0.347975943,0.418063155
31,143,NE,95512,0.000575169,0.000571043,0.000278823,0.0002611,0.515312829,0.581411883,0.069325148,0.099340972,0.315473996,0.296117172,0.320188881,0.342608609
31,145,NE,197190,0.001110741,0.001070005,0.000881372,0.000772961,0.4820157,0.527684446,0.149766082,0.194433957,0.303806374,0.255650549,0.330113784,0.318773421
31,147,NE,148374,0.000813425,0.000753692,0.000469523,0.000479388,0.469129628,0.493980243,0.081603108,0.138821504,0.262603215,0.222857021,0.227165247,0.248013613
31,149,NE,25896,0.000133557,0.000126665,7.21E-05,6.92E-05,0.441335042,0.475661006,0.066647765,0.101583623,0.304015394,0.226388079,0.19530375,0.190958181
31,151,NE,257518,0.001440943,0.001464696,0.001349912,0.001135269,0.478820227,0.553112299,0.190070348,0.233875075,0.462390365,0.384197881,0.503371847,0.525465036
31,153,NE,3004834,0.019916161,0.019798945,0.015057275,0.014821695,0.56717661,0.640759193,0.177412864,0.275587891,0.432055763,0.357560429,0.316783647,0.362799542
31,155,NE,376066,0.002404033,0.002277173,0.001302623,0.001219147,0.547028015,0.588850628,0.096665768,0.138644987,0.36646299,0.273064213,0.268855607,0.298607922
31,157,NE,661878,0.003783232,0.003767062,0.002747815,0.002929623,0.489123044,0.553475162,0.132540036,0.23469872,0.4607027,0.398013607,0.362498421,0.430078096
31,159,NE,305198,0.001772488,0.001734822,0.001554504,0.0013122,0.49697527,0.552772644,0.182187672,0.224849467,0.330058427,0.278279928,0.407650868,0.40487092
31,161,NE,96146,0.000555706,0.00054375,0.000279244,0.000286002,0.494592104,0.549973119,0.068534905,0.118926484,0.326074748,0.239295092,0.263514691,0.32209907
31,163,NE,56096,0.000283222,0.000316313,0.000144253,0.000144457,0.432044623,0.548350515,0.052233959,0.088362663,0.305815569,0.253221772,0.220325193,0.281776042
31,165,NE,23446,0.000124833,0.000153958,6.09E-05,6.60E-05,0.45560894,0.638565755,0.057428799,0.114226081,0.36663565,0.25704813,0.230803718,0.357721955
31,167,NE,109390,0.000682552,0.000729199,0.000420269,0.000403082,0.533938693,0.64824891,0.117488543,0.176371275,0.366048445,0.294894714,0.274265403,0.365847942
31,169,NE,93328,0.000491948,0.000484267,0.000275876,0.000249159,0.451065958,0.50459832,0.071288937,0.094200308,0.321766067,0.270171703,0.223667703,0.281189152
31,171,NE,12228,7.92E-05,5.60E-05,3.79E-05,3.04E-05,0.554210363,0.445231886,0.089732805,0.098016765,0.338643007,0.211815155,0.313059442,0.381778647
31,173,NE,125400,0.001014097,0.001048311,0.000576028,0.000543316,0.692014166,0.81295402,0.156707799,0.228771337,0.535365455,0.438055486,0.385571612,0.509743139
31,175,NE,76012,0.00040537,0.000431781,0.000215116,0.000237946,0.456355029,0.552401275,0.065063138,0.132312705,0.296971377,0.219725876,0.241430632,0.310061633
31,177,NE,365382,0.002413429,0.00225128,0.001319462,0.001293851,0.565224006,0.599177639,0.104403105,0.163009943,0.356506602,0.301871778,0.319674107,0.364499975
31,179,NE,170654,0.00077517,0.000794281,0.001363243,0.001287153,0.388699098,0.452617209,0.334342276,0.489347264,0.271187339,0.234063641,0.393331983,0.583007065
31,181,NE,67062,0.000341612,0.000380695,0.00021245,0.000194405,0.43590245,0.552044469,0.083049377,0.113938051,0.264239249,0.304543458,0.251230597,0.289952543
31,183,NE,14248,6.64E-05,8.68E-05,4.11E-05,4.40E-05,0.399051879,0.592269645,0.076788829,0.143614513,0.275623185,0.196838791,0.198195849,0.271448308
31,185,NE,247912,0.001264433,0.001265251,0.001138585,0.001109348,0.436446898,0.496309448,0.156055708,0.239304965,0.30219251,0.264028339,0.279333431,0.323969023
32,1,NV,439810,0.002485913,0.002601883,0.002045215,0.001927598,0.483675348,0.57530209,0.158799442,0.231364344,0.314366631,0.305341331,0.300882606,0.354136541
32,3,NV,36345624,0.208716668,0.209323531,0.182043248,0.183956508,0.491403408,0.560066026,0.177242677,0.285977961,0.479371528,0.41052685,0.385595233,0.465751022
32,5,NV,850358,0.004165112,0.004093872,0.002823169,0.002697938,0.419138966,0.468172309,0.08889644,0.132634131,0.314835829,0.257890305,0.266099866,0.287302245
32,7,NV,912980,0.006197332,0.006112816,0.004792469,0.004393269,0.58086695,0.651108459,0.190019658,0.265974922,0.5174398,0.434181788,0.434410925,0.464901356
32,9,NV,14234,6.78E-05,4.48E-05,3.70E-05,3.20E-05,0.40751391,0.305988248,0.061961434,0.07563203,0.278908366,0.225617404,0.187805426,0.241797094
32,11,NV,35866,0.000167786,0.00021624,0.000123204,0.000114313,0.400318008,0.586309911,0.099057806,0.14077584,0.385979831,0.252486318,0.252074076,0.322709562
32,13,NV,303472,0.001929535,0.001980454,0.001473537,0.001323412,0.544085641,0.634628372,0.169723061,0.229849558,0.515018275,0.424473657,0.368037618,0.471475686
32,15,NV,105424,0.000670472,0.000637524,0.000482713,0.000458127,0.544219456,0.588072093,0.156168063,0.2302149,0.416558288,0.351510767,0.377195858,0.411875955
32,17,NV,94172,0.000643626,0.000572442,0.000431775,0.000275226,0.584850494,0.59113029,0.156667643,0.114746817,0.373470237,0.259676997,0.326287656,0.312845721
32,19,NV,933956,0.005271826,0.005410909,0.003385024,0.003346247,0.483022987,0.563400384,0.104838136,0.165974855,0.374349306,0.320570503,0.331620816,0.360716661
32,21,NV,83062,0.00032282,0.000373697,0.000300994,0.000324737,0.332575873,0.437512624,0.106497499,0.195411433,0.288438064,0.190432608,0.233629841,0.252348523
32,23,NV,783568,0.003806722,0.003713177,0.00269351,0.002283935,0.415726403,0.460831562,0.095072314,0.111677713,0.298536879,0.241485436,0.269734225,0.287270149
32,27,NV,120682,0.000595304,0.000535353,0.000768833,0.000334202,0.422113444,0.431390582,0.24991955,0.10166732,0.300141842,0.233081243,0.323285078,0.351009531
32,29,NV,71344,0.00028792,0.000251931,0.000187192,0.000181882,0.345340823,0.343397159,0.054384847,0.085269925,0.200831444,0.185752705,0.187152506,0.189127945
32,31,NV,7778870,0.04317327,0.041462177,0.041079571,0.040893414,0.474932191,0.518332984,0.191529857,0.301923046,0.432225325,0.349531883,0.354894847,0.416712645
32,33,NV,179360,0.000811412,0.000937042,0.001066178,0.000592536,0.387122783,0.508050275,0.227149161,0.144430067,0.290371458,0.260936397,0.257067489,0.289719027
32,510,NV,984744,0.00495102,0.005030914,0.00470182,0.003948831,0.430233759,0.496817469,0.165128283,0.200708936,0.380295748,0.330304035,0.315119471,0.388370788
33,1,NA,1084922,0.005516122,0.005416508,0.003883453,0.003910532,0.435079403,0.485505448,0.102460523,0.167690136,0.261059881,0.219162842,0.22813217,0.260728745
33,3,NA,856654,0.004020816,0.003902825,0.002605527,0.002585955,0.401644612,0.443044028,0.074297823,0.12010032,0.2286082,0.184933668,0.202480633,0.229156774
33,5,NA,1379630,0.006416796,0.006476016,0.007021087,0.00717727,0.398005195,0.45647667,0.181567102,0.297630764,0.239125644,0.201131568,0.27802986,0.379523238
