STATE,COUNTY,TOTAL,NUM.M11-12,NUM.F11-12,NUM.M11-12,PP.F11-12,PP.M11-12,PPF11-12,PP.M18-26,PP.F18-26
6,5,672776,3941,3946,18214,12861,0.005857819,0.005865251,0.027072904,0.019116318
6,7,3998710,29411,28027,184470,169107,0.007355122,0.00700901,0.046132378,0.042290389
6,9,811322,5890,5479,18427,16419,0.007259756,0.006753176,0.022712314,0.020237341
6,11,384914,3907,3570,13352,11837,0.010150319,0.009274799,0.034688268,0.030752324
6,13,19513704,172715,166328,598053,581280,0.008850959,0.008523651,0.030647846,0.029788296
6,15,504780,3756,3608,20995,12579,0.007440865,0.007147668,0.041592377,0.024919767
6,17,3278264,27762,26449,88029,77838,0.008468507,0.00806799,0.026852322,0.023743664
6,19,17099404,172102,165661,692967,657750,0.010064795,0.009688115,0.040525798,0.038466253
6,21,504840,4904,4665,16899,15421,0.009713969,0.009240551,0.033473972,0.030546312
6,23,2430866,16541,15824,103223,98566,0.006804571,0.006509614,0.042463468,0.04054769
6,25,3188140,32811,30886,133689,106874,0.010291581,0.00968778,0.041933228,0.033522367
6,27,331278,2459,2247,8534,8102,0.007422769,0.006782823,0.025760841,0.024456801
6,29,15454206,157875,152412,661445,552618,0.010215666,0.00986217,0.042800322,0.035758421
6,31,2723068,25266,24547,142654,94367,0.009278505,0.009014465,0.052387234,0.034654662
6,33,1157388,8602,8062,32297,29409,0.007432253,0.006965685,0.027905076,0.025409802
6,35,597278,3844,3592,41216,11877,0.006435864,0.00601395,0.069006392,0.019885213
6,37,179274060,1489996,1428965,7126410,6867118,0.008311275,0.007970841,0.039751484,0.03830514
6,39,2743202,26992,25656,95282,101582,0.009839596,0.009352574,0.034733862,0.037030448
6,41,4620024,34737,34173,108467,91165,0.007518792,0.007396715,0.023477584,0.019732581
6,43,322348,2118,1946,8233,7333,0.006570539,0.006036954,0.02554072,0.022748706
6,45,1575952,12127,11762,47023,42519,0.007695031,0.007463425,0.029837838,0.026979883
6,47,4706206,51107,48883,188145,173071,0.010859491,0.010386923,0.039978063,0.036775058
6,49,167460,1313,1209,3980,3598,0.007840678,0.007219635,0.02376687,0.021485728
6,51,254626,1731,1722,11460,8820,0.006798206,0.00676286,0.045007187,0.034639039
6,53,7637376,68252,65187,313317,271015,0.008936577,0.008535261,0.041024169,0.035485355
6,55,2503768,20579,19939,81592,73488,0.008219212,0.007963597,0.032587684,0.029350962
6,57,1776518,12580,11884,44218,39513,0.007081268,0.00668949,0.024890263,0.022241824
6,59,55506156,475362,456065,2055186,1941234,0.008564131,0.008216476,0.037026271,0.03497331
6,61,6513592,58163,55730,179362,170653,0.008929482,0.008555955,0.027536573,0.026199522
6,63,346790,2193,2120,8265,7518,0.006323712,0.00611321,0.023832867,0.021678826
6,65,40874450,403609,389325,1469555,1401641,0.009874359,0.009524899,0.0359529,0.034291373
6,67,26182100,228271,219249,972986,968362,0.00871859,0.008374004,0.03716226,0.036985651
6,69,1025012,10755,9964,34344,32138,0.01049256,0.009720862,0.033505949,0.031353779
6,71,37417394,377753,359625,1491919,1410435,0.010095652,0.009611172,0.039872339,0.037694635
6,73,57404950,451642,431043,2599245,2231633,0.007867649,0.007508812,0.045279109,0.038875271
6,75,14966554,62162,60329,674968,676997,0.004153394,0.004030921,0.045098424,0.045233993
6,77,12654472,129518,123258,459254,430621,0.010234959,0.009740272,0.036291834,0.034029156
6,79,4947446,32336,31215,228607,182567,0.006535898,0.006309316,0.046207073,0.036901262
6,81,13319088,100315,96062,426816,393387,0.007531672,0.007212356,0.032045437,0.029535581
6,83,7790408,60575,57894,368377,329494,0.007775588,0.007431446,0.04728597,0.042294832
6,85,33176198,271055,258625,1216314,1090582,0.008170165,0.007795498,0.036662248,0.032872423
6,87,4815128,34942,33147,202874,188687,0.007256713,0.006883929,0.042132629,0.03918629
6,89,3211740,25925,23974,101346,97453,0.008071949,0.00746449,0.031554858,0.030342743
6,91,55668,359,292,1139,917,0.006448947,0.005245383,0.020460588,0.016472659
6,93,795500,5809,5715,20802,18817,0.007302326,0.007184161,0.026149591,0.023654305
6,95,7610380,64455,61845,284763,258727,0.008469354,0.008126401,0.037417711,0.033996594
6,97,8858188,67771,64744,300421,276386,0.007650662,0.007308944,0.033914498,0.031201189
6,99,9430244,94414,89192,344679,337477,0.01001183,0.00945808,0.03655038,0.035786667
6,101,1711856,16378,15719,60473,57493,0.009567394,0.009182431,0.035325985,0.033585185
6,103,1137602,9931,9497,34294,32440,0.008729767,0.008348262,0.030145868,0.028516124
6,105,241908,1498,1516,5558,4639,0.006192437,0.006266845,0.022975677,0.019176712
6,107,8107346,89833,86851,305498,290433,0.011080445,0.01071263,0.037681628,0.035823437
6,109,979962,6290,5838,32589,22626,0.006418616,0.005957374,0.033255371,0.02308865
6,111,15036568,134788,129757,534452,491586,0.008964014,0.008629429,0.035543483,0.0326927
6,113,3706686,28907,27676,194046,201532,0.00779861,0.007466508,0.052350267,0.05436986
6,115,1317362,12782,11945,52944,49085,0.009702724,0.009067363,0.040189409,0.03726007
8,1,8357794,81749,78345,311064,300119,0.00978117,0.009373885,0.037218433,0.035908877
8,3,289442,2271,2158,13598,12909,0.007846132,0.007455725,0.046980051,0.044599609
8,5,10786242,95861,91524,369928,368862,0.00888734,0.008485254,0.034296282,0.034197453
8,7,220016,1585,1452,4723,4577,0.007204022,0.00659952,0.021466621,0.020803033
8,9,66842,515,487,1606,1439,0.007704737,0.007285838,0.024026809,0.02152838
8,11,109820,643,671,7129,1748,0.005855036,0.006109998,0.064915316,0.015916955
8,13,5511046,42322,40321,257165,222195,0.007679486,0.007316397,0.046663555,0.040318117
8,14,1075402,9982,9684,34836,31971,0.00928211,0.009005005,0.032393468,0.029729348
8,15,327926,1839,1909,11436,6381,0.005607973,0.005821435,0.034873722,0.019458658
8,17,33250,268,251,809,809,0.00806015,0.007548872,0.024330827,0.024330827
8,19,164972,917,966,3762,2992,0.005558519,0.005855539,0.02280387,0.018136411
8,21,148374,1422,1524,4157,3826,0.009583889,0.010271341,0.028017038,0.025786189
8,23,64336,477,459,1513,1359,0.0074142,0.007134419,0.02351716,0.021123477
8,25,102056,552,468,8297,1303,0.005408795,0.004585718,0.081298503,0.0127675
8,27,77776,460,535,1336,876,0.005914421,0.006878729,0.017177535,0.011263115
8,29,548526,4408,4121,13922,12037,0.008036082,0.007512862,0.025380748,0.021944265
8,31,11478290,75085,73704,520733,528978,0.00654148,0.006421166,0.045366775,0.046085088
8,33,36532,309,229,737,725,0.008458338,0.006268477,0.020174094,0.019845615
8,35,5443412,61701,58932,118946,121433,0.011334986,0.010826298,0.021851368,0.022308251
8,37,945394,7833,7640,39703,31071,0.008285434,0.008081287,0.041996247,0.032865662
8,39,427306,4200,4108,8262,7921,0.009829022,0.009613719,0.01933509,0.018537067
8,41,11668460,105611,100624,501084,431628,0.00905098,0.008623589,0.042943456,0.036991
8,43,844194,5233,5105,36049,16176,0.006198812,0.006047188,0.04270227,0.019161472
8,45,1024622,9373,8857,35283,31292,0.009147764,0.008644163,0.034435138,0.030540043
8,47,100656,627,637,2146,1690,0.006229137,0.006328485,0.02132014,0.016789859
8,49,262922,1934,1820,8499,7156,0.007355794,0.006922205,0.032325176,0.027217197
8,51,281812,1753,1774,17225,12282,0.006220459,0.006294977,0.061122308,0.043582246
8,53,14586,104,85,366,377,0.007130125,0.005827506,0.025092555,0.025846702
8,55,118430,706,733,2300,2251,0.005961327,0.00618931,0.019420755,0.019007008
8,57,24718,165,181,770,457,0.006675297,0.007322599,0.031151388,0.018488551
8,59,9878264,78243,74224,325457,295548,0.007920724,0.007513871,0.032946781,0.029919022
8,61,25400,202,199,582,591,0.007952756,0.007834646,0.022913386,0.023267717
8,63,147714,1106,1072,6056,3330,0.007487442,0.007257267,0.040998145,0.022543564
8,65,132528,1086,1066,5627,4115,0.008194495,0.008043583,0.042458952,0.031050042
8,67,951602,6583,6403,36184,32610,0.006917808,0.006728653,0.0380243,0.034268528
8,69,5662380,42202,40095,263823,245892,0.00745305,0.007080945,0.046592246,0.043425556
8,71,266086,1851,1924,8795,6557,0.006956398,0.007230745,0.033053223,0.024642409
8,73,98820,613,690,4734,2144,0.006203198,0.006982392,0.047905282,0.021696013
8,75,397904,2891,2659,19309,10951,0.007265572,0.006682516,0.04852678,0.027521714
8,77,2655854,21205,20072,93279,88882,0.007984249,0.007557644,0.035122036,0.033466448
8,79,12840,76,54,291,249,0.005919003,0.004205607,0.022663551,0.019392523
8,81,239992,2276,2109,7539,7397,0.009483649,0.008787793,0.031413547,0.030821861
8,83,464250,3874,3634,12290,11553,0.008344642,0.007827679,0.026472806,0.024885299
8,85,737950,6454,6056,18231,17559,0.00874585,0.008206518,0.024704926,0.023794295
8,87,508888,5016,4643,15912,16461,0.009856786,0.009123815,0.031268177,0.032347
8,89,335222,3133,2655,9372,9425,0.009346045,0.007920125,0.027957592,0.028115696
8,91,82094,540,594,1157,1213,0.006577825,0.007235608,0.0140936,0.014775745
8,93,293914,2048,1883,5760,4717,0.006968025,0.006406636,0.019597569,0.016048912
8,95,78900,692,698,1921,1863,0.008770596,0.008846641,0.024347275,0.023612167
8,97,312592,1904,1973,10950,9040,0.006091007,0.006311742,0.035029687,0.028919486
8,99,221530,2165,1922,6705,6355,0.009772943,0.008676026,0.030266781,0.02868686
8,101,2896444,25071,23786,93208,91362,0.008655786,0.008212139,0.032180149,0.031542816
8,103,120148,1040,929,4224,3802,0.008655991,0.00773213,0.03515664,0.031644305
8,105,212028,1862,1815,5927,5895,0.008781859,0.00856019,0.027953855,0.027802932
8,107,427236,3171,3023,15754,12817,0.007422127,0.007075715,0.036874233,0.029999813
8,109,111606,868,886,2740,2548,0.00777736,0.007938641,0.024550651,0.022830314
8,111,12580,108,44,356,359,0.008585056,0.003497615,0.028298887,0.028537361
8,113,136788,925,903,4906,4007,0.006762289,0.006601456,0.035865719,0.029293505
8,115,42672,313,283,1053,963,0.007335021,0.006631984,0.024676603,0.022567492
8,117,516744,2858,2783,26905,20213,0.005530785,0.005385646,0.0520664,0.039116081
8,119,421676,3332,2911,8944,7756,0.007901801,0.006903405,0.021210598,0.018393269
8,121,86624,739,725,2468,1956,0.008531123,0.008369505,0.028490949,0.022580347
8,123,4817552,45908,44344,172836,169771,0.009529321,0.009204675,0.035876312,0.035240097
8,125,182036,1640,1561,5276,4887,0.009009207,0.008575227,0.028983278,0.026846338
9,1,16780808,152706,145145,490361,470219,0.009100039,0.008649464,0.029221537,0.028021237
9,3,16117992,134281,127690,527702,505958,0.008331125,0.007922203,0.032739934,0.031390883
9,5,3368592,27266,25834,85070,78959,0.008094183,0.00766908,0.025253875,0.023439764
9,7,2970800,23225,22207,83649,79232,0.00781776,0.007475091,0.028157062,0.026670257
9,9,15513598,124278,119917,526963,529897,0.008010908,0.007729799,0.033967813,0.034156938
9,11,4911134,37888,36710,189762,149582,0.007714715,0.007474852,0.038639141,0.030457731
9,13,2740250,20963,19942,122851,109807,0.007650032,0.007277438,0.044832041,0.040071891
