STATEFIP,COUNTYFIPS,totalpop,targage1wtd,targage2wtd,malewtd,femalewtd,targ1wtd,targ2wtd,coveredwtd,insurlikelywtd,likelytarg1wtd,targage1pp,targage2pp,malepp,femalepp,targ1pp,targ2pp,coveredpp,insurlikelypp,likelytarg1pp
34,21,742046,35980,35869,181671,189172,17769,17462,332715,106557,0,-0.1246024,-0.079300949,-0.146047403,-0.146101981,-0.120183041,-0.083756958,-0.140432867,-0.187356838,0
48,201,9179856,445057,373943,2204684,2229128,216082,183207,3451920,1237288,0,5.804981653,5.173915669,5.391695335,5.249197947,5.745312319,5.160007129,4.781377816,4.285017602,0
20,209,327662,15872,12653,79648,82114,8272,6301,128486,59950,0,-0.416068496,-0.440046457,-0.425322488,-0.429250254,-0.401075415,-0.436863544,-0.462686927,-0.371701262,0
36,5,2911440,140743,142909,676908,760554,69266,71089,1263246,777357,0,1.393940598,1.583957115,1.209601374,1.365095939,1.402941588,1.612869406,1.327857103,2.465854911,0
27,145,311304,15046,19685,77421,75840,7827,9375,145515,45410,0,-0.428041393,-0.330778607,-0.431418619,-0.445843804,-0.414237161,-0.339609745,-0.435816775,-0.429211249,0
48,167,658862,31808,23414,155618,159118,15194,11454,265644,84658,0,-0.185075672,-0.272834947,-0.217364202,-0.225589158,-0.196343708,-0.273835299,-0.246264566,-0.273973839,0
1,97,829672,40046,33855,197775,216382,20067,16869,357440,148055,0,-0.065665602,-0.110595808,-0.101964736,-0.074136649,-0.05221519,-0.10251802,-0.101419154,-0.023220014,0
26,81,1284346,61985,53974,309794,319515,29906,27080,576069,197868,0,0.252340897,0.202026473,0.204673137,0.198630738,0.238792504,0.220532903,0.243556744,0.173805085,0
48,491,1057436,51031,32330,241523,249098,24787,15981,434694,101871,0,0.093562321,-0.134292263,0.017789892,0.012391018,0.087388054,-0.130612155,0.020480356,-0.205891349,0
48,183,247490,11937,10943,60539,62741,6316,5094,98131,41147,0,-0.473106446,-0.466617564,-0.477630963,-0.480488196,-0.458927946,-0.475050054,-0.510584248,-0.446072671,0
42,17,1252798,60389,40533,307551,318701,28241,19929,593011,161501,0,0.229206827,-0.006828643,0.198533208,0.196477861,0.189546868,-0.005707147,0.270289619,0.029962879,0
39,169,232940,11220,9802,57360,58239,5438,4843,98973,37016,0,-0.483499384,-0.484347174,-0.486333075,-0.492395139,-0.484896515,-0.482991077,-0.509255652,-0.462411993,0
36,27,588946,28337,28362,146971,149078,13882,14062,273115,94161,0,-0.235387927,-0.195949662,-0.241034273,-0.25214307,-0.235148678,-0.191324595,-0.234476034,-0.236386672,0
